ORIGINAL,NORMALIZADOS
"RT @HaddadDebochado : Brasil 🇧🇷 bate novo recorde: 1.972 mortes por covid-19 nas últimas 24 horas.

NÃO TEMOS VACINA.
NÃO TEMOS LOCKDOWN.
NÃO TEMOS AUXÍLIO EMERGENCIAL.
NÃO TEMOS MINISTRO DA SAÚDE.
NÃO TEMOS PRESIDENTE DA REPÚBLICA.","RT @HaddadDebochado : Brasil 🇧🇷 bate novo recorde: 1.972 mortes por covid-19 nas últimas 24 horas.

NÃO TEMOS VACINA.
NÃO TEMOS LOCKDOWN.
NÃO TEMOS AUXÍLIO EMERGENCIAL.
NÃO TEMOS MINISTRO DA SAÚDE.
NÃO TEMOS PRESIDENTE DA REPÚBLICA."
RT @gugachacra : Maternidade em Maceió tem 15 bebês com Covid-19 internados em estado grave | Alagoas | G1 https://t.co/WJxSicIuMy,RT @gugachacra : Maternidade em Maceió tem 15 bebês com Covid-19 internados em estado grave | Alagoas | G1
"RT @secomvc : A Campanha Nacional de Vacinação contra a Covid-19 do @minsaude já alcançou cerca de 11,5 milhões de pessoas relacionadas aos grupos prioritários em todo o país. https://t.co/UvLcMgTyX6","RT @secomvc : A Campanha Nacional de Vacinação contra a Covid-19 do @minsaude já alcançou cerca de 11,5 milhões de pessoas relacionadas aos grupos prioritários em todo o país."
"RT @Francisco_SPBR : Prioridade número 1 para o Brasil, luta contra o Covid-19, prioridade número 2 #VotoAuditavelJa","RT @Francisco_SPBR : Prioridade número 1 para o Brasil, luta contra o Covid-19, prioridade número 2 #VotoAuditavelJa."
"@DouglasGarcia @Theurias Cara, fiscaliza a secretária de saúde. Os hospitais. Vocês estão dormindo, como pode zero óbitos sem 202 por dengue? Estão colocando tudo na conta da covid-19. Ajudem na guerra também.","@DouglasGarcia @Theurias Cara, fiscaliza a secretária de saúde. Os hospitais. Vocês estão dormindo, como pode zero óbitos sem 202 por dengue? Estão colocando tudo na conta da covid-19. Ajudem na guerra também."
Quinta (11) tem vacinação contra Covid-19 para trabalhadores da saúde https://t.co/io64z2ghTd,Quinta (11) tem vacinação contra Covid-19 para trabalhadores da saúde.
"RT @BlogdoNoblat : Vacinas contra a Covid-19 estão se esgotando na Região Metropolitana do Rio, e cidades podem alterar cronograma
https://t.co/mD2udP506F","RT @BlogdoNoblat : Vacinas contra a Covid-19 estão se esgotando na Região Metropolitana do Rio, e cidades podem alterar cronograma."
"RT @RomeuZema : ➕303.600 vacinas para Minas Gerais! Agora, com a chegada da 7ª remessa de doses contra a covid-19, iniciaremos a vacinação de pessoas entre 75 e 79 anos. No total, o Estado já recebeu de 2.117.380 doses. https://t.co/UbKhjkxFJB","RT @RomeuZema : 303.600 vacinas para Minas Gerais! Agora, com a chegada da 7.ª remessa de doses contra a covid-19, iniciaremos a vacinação de pessoas entre 75 e 79 anos. No total, o Estado já recebeu de 2.117.380 doses."
RT @Estadao : Saiba como diferenciar os sintomas de dengue e covid-19 nas crianças https://t.co/jMKMXg1EMT,RT @Estadao : Saiba como diferenciar os sintomas de dengue e covid-19 nas crianças.
"RT @zebrito87 : Um primo meu, de 34 anos e sem comorbidades, acabou de dar entrada na UTI de um hospital de Belém por conta da Covid-19. Lesão pulmonar de 70%. Ele testou positivo no dia 28/02 e estava ""bem"" até ontem. ***34 anos e sem comorbidades***.","RT @zebrito87 : Um primo meu, de 34 anos e sem comorbidades, acabou de dar entrada na UTI de um hospital de Belém por conta da Covid-19. Lesão pulmonar de 70%. Ele testou positivo no dia 28/02 e estava “bem” até ontem. Trinta e quatro anos e sem comorbidades!"
"RT @joaoonetob : Acho que esqueceram desse vídeo.

Um comunista, maior criminoso da história do Brasil, comemorando a existência do virus chinês, vulgo coronavirus/covid-19, um vírus que ""começou"" no país comandado por um Partido Comunista.

Sim, nós estamos em uma guerra, sofrendo ataques deles, https://t.co/9pu9qqgI4v","RT @joaoonetob : Acredito que esqueceram deste vídeo.
Um comunista, maior criminoso da história do Brasil, comemorando a existência do vírus chinês, vulgo coronavírus/covid-19, um vírus que “começou” no país comandado por um Partido Comunista.
Sim, estamos em uma guerra, sofrendo ataques deles."
RT @carmelonetobr : O Ceará receberá uma nova remessa com 109 mil doses de vacina contra COVID-19 amanhã. A tendência para o próximo mês é que o número de doses enviadas pelo Gov. Federal ao nosso estado aumente exponencialmente.,RT @carmelonetobr : O Ceará receberá uma nova remessa com 109 mil doses de vacina contra COVID-19 amanhã. A tendência para o próximo mês é que o número de doses enviadas pelo Gov. Federal ao nosso estado aumente exponencialmente.
"RT @augustodefranco : Lula, Moro... esqueçam esses caras. Vamos voltar ao foco. O foco é o seguinte: o Brasil tem um presidente negacionista da Covid-19 que está levando pessoas à morte. Esse presidente não pode continuar. Ele é responsável pela maior tragédia sanitária da nossa história. Eis o foco.","RT @augustodefranco : Lula, Moro… esqueçam esses caros. Vamos voltar ao foco. O foco é o seguinte: o Brasil tem um presidente negacionista da Covid-19 que está levando pessoas à morte. Esse presidente não pode continuar. Ele é responsável pela maior tragédia sanitária da nossa história. Eis o foco."
"RT @slpng_giants_pt : O Brasil bateu recorde hoje de 1972 mortes por Covid-19 e ainda continuam divulgando desinformação sobre o lockdown, tratamento precoce, máscara e a vacina. Toda vez que vocês virem esses conteúdos, denunciem, pois essas mentiras levaram muitas vidas e não podemos perder mais!✊🏽","RT @slpng_giants_pt : O Brasil bateu recorde hoje de 1972 mortes por Covid-19 e ainda continuam divulgando desinformação sobre o lockdown, tratamento precoce, máscara e a vacina. Toda vez que vocês virem esses conteúdos, denunciem, pois, essas mentiras levaram muitas vidas e não podemos perder mais!"
"RT @GiordanaLube : Eu amo Cascavel mas tem gente aqui que não cansa de passar vergonha... Aaafffffff começaram logo depois da visita do ministro pai zueiro...
Intrigante... O chefe do grupo foi meu pediatra.... 🙄
https://t.co/wnBQWdXWV5","RT @GiordanaLube : Amo Cascavel, mas tem gente aqui que não cansa de passar vergonha… começaram logo depois da visita do ministro pai zueiro…
Intrigante… O chefe do grupo foi meu pediatra… "
"RT @belemtransito : Editorial da TV Liberal sobre as 9 mil mortes por COVID-19 no Pará, via @Ieonunes:  https://t.co/wfeG36Gd2J
Obrigado @JoaoJadson"," RT @belemtransito : Editorial da TV Liberal sobre as 9 mil mortes por COVID-19 no Pará, via @Ieonunes.
Obrigado @JoaoJadson.
"
"RT @alessandromolon : No dia em que o Brasil registra 1.927 mortes por covid-19, mais um recorde, o governo condiciona o auxílio emergencial a cortes no orçamento em áreas fundamentais como a Ciência e Tecnologia, inseridos cruelmente na PEC Emergencial. Vergonha.","RT @alessandromolon : No dia em que o Brasil registra 1927 mortes por covid-19, mais um recorde, o governo condiciona o auxílio emergencial a cortes no orçamento em áreas fundamentais como a Ciência e Tecnologia, inseridos cruelmente na PEC Emergencial. Vergonha."
"RT @DC__Ferreira : Uma semana de angústia.

Na sexta-feira o @absvasconcelos deu entrada na uti de Estância com pneumonia agravada pela covid 19. Acordei no sábado com essa notícia e até o domingo ele estava em Estado grave.

É triste demais ver um amigo passar por isso sem poder fazer nada
+ https://t.co/byN8HNB8Gm"," RT @DC__Ferreira : Uma semana de angústia.

Na sexta-feira o @absvasconcelos deu entrada na UTI de Estância com pneumonia agravada pela covid 19. Acordei no sábado com essa notícia e até o domingo ele estava em Estado grave.

É triste demais ver um amigo passar por isso sem poder fazer nada.
"
